time,kind,level,count,side,res,cost
2023-04-20 12:00:00,LEVEL,28505.574999999997,4,1,1,0.015982940846649814
2023-04-20 03:00:00,LEVEL,28604.8,3,1,1,0.014065700631559512
2023-04-20 02:00:00,LEVEL,28805.575,4,1,-1,0.01470445865969018
2023-04-20 11:00:00,CONTROL,28693.847969029764,4,1,-1,0.017629951518930733
2023-04-20 11:00:00,CONTROL,28691.312864762873,4,1,-1,0.017628393910994394
2023-04-20 00:00:00,CONTROL,28926.758507673807,3,-1,1,0.01511398926027529
2023-04-20 06:00:00,CONTROL,29067.082513571375,4,-1,1,0.014532178865017072
2023-04-21 20:00:00,LEVEL,27165.933333333334,3,1,1,0.016410742782350433
2023-04-21 19:00:00,LEVEL,27283.183333333334,6,1,1,0.016222488139036508
2023-04-21 19:00:00,LEVEL,27481.666666666668,3,1,-1,0.01634050565486145
2023-04-21 19:00:00,LEVEL,27655.850000000002,6,1,-1,0.016444074473224574
2023-04-21 17:00:00,LEVEL,27765.17142857143,7,1,-1,0.017395020962748132
2023-04-21 06:00:00,LEVEL,27854.733333333334,6,1,1,0.016067914097895698
2023-04-21 06:00:00,LEVEL,27965.039999999997,5,1,-1,0.016131544146807498
2023-04-21 00:00:00,LEVEL,28100.475000000002,4,1,-1,0.015587560671196767
2023-04-21 00:00:00,LEVEL,28172.842857142856,7,1,-1,0.01562770370663865
2023-04-21 00:00:00,LEVEL,28305.075,4,-1,1,0.015701053945361237
2023-04-21 19:00:00,CONTROL,27372.33911790258,6,1,1,0.016275499865711893
2023-04-22 01:00:00,LEVEL,27283.183333333334,6,-1,-1,0.01678545491832172
2023-04-22 16:00:00,LEVEL,27655.850000000002,6,-1,1,0.021715345732934183
2023-04-22 17:00:00,LEVEL,27769.525,8,-1,1,0.022246765471660317
2023-04-22 22:00:00,LEVEL,27854.733333333334,6,-1,1,0.028444966385839484
2023-04-22 14:00:00,CONTROL,27375.908576226167,6,-1,-1,0.021897442244644228
2023-04-22 14:00:00,CONTROL,27391.969645927038,8,-1,-1,0.021910289173365616
2023-04-22 16:00:00,CONTROL,27571.607110637007,6,-1,-1,0.021649198300544337
2023-04-22 16:00:00,CONTROL,27567.947805464966,6,-1,-1,0.02164632501778669
2023-04-23 15:00:00,LEVEL,27283.183333333334,6,1,1,0.023156297023225348
2023-04-23 00:00:00,LEVEL,27517.466666666664,3,1,1,0.02572852982712442
2023-04-23 00:00:00,LEVEL,27640.25,6,1,-1,0.025843330898466035
2023-04-23 00:00:00,LEVEL,27740.079999999998,5,1,-1,0.02593667085463842
2023-04-23 00:00:00,CONTROL,27415.104639872847,3,1,1,0.025632822453642984
2023-04-23 15:00:00,CONTROL,27380.536627638914,6,1,1,0.02323892454405336
2023-04-23 15:00:00,CONTROL,27380.593398737798,5,1,1,0.023238972727889242
2023-04-23 00:00:00,CONTROL,27409.215308133644,8,1,1,0.025627315992995666
2023-04-24 16:00:00,LEVEL,27090.2,3,1,1,0.016703335324380064
2023-04-24 08:00:00,LEVEL,27165.95,4,1,1,0.018705306192709912
2023-04-24 08:00:00,LEVEL,27282.68571428571,7,1,1,0.018785685390909825
2023-04-24 07:00:00,LEVEL,27407.7,3,1,1,0.020006989529392994
2023-04-24 00:00:00,LEVEL,27517.466666666664,3,1,1,0.022119594396576958
2023-04-24 00:00:00,LEVEL,27640.25,6,-1,-1,0.022218292345951893
2023-04-24 00:00:00,LEVEL,27743.399999999998,6,-1,-1,0.022301208269486773
2023-04-24 00:00:00,LEVEL,27811.6125,8,-1,1,0.022356040091436585
2023-04-24 01:00:00,LEVEL,27899.675,4,-1,1,0.02167754279470679
2023-04-24 01:00:00,LEVEL,27974.6,5,-1,1,0.021735758164380215
2023-04-24 17:00:00,CONTROL,26984.89504711551,4,1,1,0.015652207607672726
2023-04-24 16:00:00,CONTROL,27001.865838561433,3,1,1,0.01664887005210056
2023-04-25 07:00:00,LEVEL,27282.68571428571,7,1,1,0.017709561094915487
2023-04-25 04:00:00,LEVEL,27407.7,3,-1,-1,0.017275575165458586
