timestamp,open,high,low,close,volume
19/01/2026,93614,93614.1,91800,92589.6,108237.056
20/01/2026,92589.6,92845,87787.2,88390.6,188076.2
21/01/2026,88390.7,90599.5,87205.5,89411.4,208082.615
22/01/2026,89411.4,90327.7,88465.6,89518.5,105914.221
23/01/2026,89518.4,91195,88530,89558.7,124825.85
24/01/2026,89558.7,89893.9,89116.9,89180.7,30735.937
25/01/2026,89180.7,89281.6,86021.7,86628.9,124879.363
26/01/2026,86628.9,88834.1,86463.2,88300.6,134609.491
27/01/2026,88300.6,89499,87265.4,89197.8,117926.114
28/01/2026,89197.8,90592.7,88786,89261.7,123884.859
29/01/2026,89261.7,89316.8,83338.3,84604.7,226761.591
30/01/2026,84604.7,84697.2,81000,84211.4,254794.516
31/01/2026,84211.4,84239.5,75500,78706.8,271548.511
