time,dir,entry,stop,target,risk,R
2021-05-19 19:00:00,1,1870.653,1861.892,1896.936,8.760999999999967,2.9714644446980936
2021-05-27 05:00:00,1,1901.747,1897.363,1914.8990000000001,4.3840000000000146,-1.0570255474452552
2021-06-02 16:00:00,1,1906.385,1905.289,1909.673,1.0960000000000036,-1.2281021897810211
2021-08-08 22:00:00,-1,1702.253,1762.323,1522.0429999999994,60.070000000000164,-0.9124687864158478
2021-09-28 10:00:00,-1,1733.536,1740.516,1712.596,6.980000000000018,-1.0358166189111746
2021-09-28 14:00:00,-1,1732.932,1740.6,1709.9280000000003,7.667999999999893,-1.0326030255607725
2021-09-29 14:00:00,-1,1728.321,1737.767,1699.9829999999995,9.44600000000014,-1.0264662290916786
2021-11-09 13:00:00,1,1829.876,1823.883,1847.8549999999998,5.992999999999938,-1.0417153345569836
2021-11-09 16:00:00,1,1828.35,1823.421,1843.1369999999995,4.92899999999986,-1.0507202272266194
2021-11-15 07:00:00,1,1861.124,1856.308,1875.5720000000001,4.816000000000031,2.948089700996678
2021-11-17 12:00:00,1,1863.849,1861.64,1870.4759999999994,2.2089999999998327,-1.1131733816206515
2021-11-17 14:00:00,1,1866.109,1861.971,1878.5229999999997,4.13799999999992,-1.0604156597390055
2021-11-18 12:00:00,1,1865.429,1862.435,1874.4110000000005,2.994000000000142,-1.083500334001332
2022-02-14 14:00:00,1,1866.435,1859.993,1885.761,6.442000000000007,-1.0388078236572493
2022-02-16 16:00:00,1,1865.184,1861.418,1876.4820000000002,3.7660000000000764,2.933616569304303
2022-02-18 10:00:00,1,1889.48,1886.288,1899.056,3.1920000000000073,2.9216791979949877
2022-02-21 01:00:00,1,1895.591,1891.299,1908.4669999999996,4.291999999999916,-1.0582479030754903
2022-02-21 14:00:00,1,1895.057,1892.435,1902.9230000000002,2.622000000000071,2.9046529366895526
2022-02-23 13:00:00,1,1901.196,1895.983,1916.8349999999998,5.212999999999965,2.9520429694993284
2022-03-03 07:00:00,1,1932.067,1925.07,1953.0580000000002,6.997000000000071,-1.0357295983993136
2022-03-03 10:00:00,1,1933.867,1929.092,1948.1919999999996,4.774999999999864,-1.0523560209424099
2022-03-03 17:00:00,1,1931.906,1927.465,1945.229,4.441000000000031,2.9437063724386405
2022-03-04 01:00:00,1,1933.802,1929.366,1947.1099999999997,4.435999999999922,2.943642921550946
2022-03-10 06:00:00,1,1983.167,1980.478,1991.2339999999995,2.688999999999851,-1.0929713648196406
2022-03-10 09:00:00,1,1985.615,1976.748,2012.216,8.866999999999962,-1.028194428780873
2022-04-17 23:00:00,1,1986.477,1978.229,2011.2210000000002,8.248000000000047,-1.0303103782735208
2022-05-18 20:00:00,-1,1816.511,1817.511,1813.511,1.0,-1.25
2022-05-19 04:00:00,-1,1815.334,1817.358,1809.2620000000004,2.0239999999998872,-1.1235177865612718
2022-06-14 13:00:00,-1,1816.035,1821.953,1798.2810000000004,5.917999999999893,-1.0422440013518088
2022-06-29 07:00:00,-1,1816.827,1819.715,1808.1630000000002,2.88799999999992,-1.086565096952911
2022-06-30 13:00:00,-1,1817.064,1825.133,1792.8570000000002,8.06899999999996,2.969017226422109
2022-07-07 11:00:00,-1,1743.669,1745.141,1739.2530000000002,1.47199999999998,-1.1698369565217415
2022-07-08 01:00:00,-1,1743.409,1746.56,1733.9560000000006,3.15099999999984,2.920660107902249
2022-07-14 04:00:00,-1,1728.013,1732.268,1715.2479999999996,4.255000000000109,2.941245593419508
2022-07-19 09:00:00,-1,1713.245,1715.067,1707.7789999999995,1.8220000000001164,-1.1372118551042723
2022-07-19 11:00:00,-1,1713.996,1718.373,1700.8650000000002,4.376999999999953,2.9428832533698874
2022-07-21 16:00:00,-1,1711.671,1713.512,1706.1480000000004,1.8409999999998945,-1.1357957631721969
2022-08-31 09:00:00,-1,1710.978,1714.37,1700.8020000000006,3.3919999999998254,-1.073702830188683
2022-08-31 12:00:00,-1,1711.517,1715.963,1698.1790000000003,4.445999999999913,-1.0562303193882152
2022-08-31 17:00:00,-1,1712.792,1716.296,1702.2799999999995,3.504000000000133,2.9286529680365323
2022-09-01 09:00:00,-1,1705.872,1708.603,1697.679,2.7309999999999945,2.90845844013182
2022-09-13 15:00:00,-1,1700.93,1707.312,1681.7840000000006,6.3819999999998345,2.9608273268567835
2022-09-19 13:00:00,-1,1664.623,1668.205,1653.8770000000004,3.58199999999988,-1.0697934115019565
2022-09-20 13:00:00,-1,1665.121,1668.826,1654.0060000000003,3.7049999999999272,-1.0674763832658583
2022-09-22 09:00:00,-1,1666.582,1673.222,1646.6620000000005,6.639999999999873,-1.0376506024096392
2022-09-23 07:00:00,-1,1667.355,1670.768,1657.116,3.413000000000011,2.926750659244067
2022-09-26 07:00:00,-1,1644.04,1649.598,1627.366,5.557999999999993,2.9550197912918317
2022-09-27 16:00:00,-1,1629.448,1634.125,1615.4170000000004,4.676999999999907,2.946546931793884
2022-10-19 15:00:00,-1,1630.492,1635.7,1614.8679999999997,5.208000000000084,-1.0480030721966198
2022-10-20 18:00:00,-1,1628.615,1631.154,1620.998,2.5389999999999873,2.901536037810161
2022-11-03 09:00:00,-1,1624.057,1628.165,1611.7330000000002,4.107999999999947,-1.0608568646543337
2022-11-03 15:00:00,-1,1625.864,1631.439,1609.139,5.5750000000000455,-1.044843049327354
2022-11-30 23:00:00,1,1773.332,1768.387,1788.1670000000006,4.945000000000164,2.9494438827098097
2022-12-05 09:00:00,1,1796.766,1795.03,1801.9740000000004,1.7360000000001037,-1.1440092165898532
2022-12-05 12:00:00,1,1797.845,1793.54,1810.7600000000002,4.305000000000064,-1.0580720092915206
2022-12-09 04:00:00,1,1796.515,1795.187,1800.4990000000007,1.328000000000202,-1.1882530120481642
2022-12-09 06:00:00,1,1795.679,1793.708,1801.592,1.9710000000000036,-1.1268391679350582
2022-12-09 11:00:00,1,1800.377,1793.561,1820.825,6.816000000000031,-1.0366784037558683
2022-12-09 14:00:00,1,1798.226,1794.12,1810.5440000000008,4.106000000000222,-1.0608865075499236
2022-12-09 21:00:00,1,1797.425,1794.886,1805.042,2.5389999999999873,-1.098463962189839
2022-12-13 13:00:00,1,1811.042,1786.603,1884.3589999999995,24.43899999999985,-1.0102295511272965
2022-12-20 14:00:00,1,1812.409,1802.753,1841.3770000000006,9.656000000000176,-1.0258906379453185
2022-12-27 15:00:00,1,1824.588,1807.961,1874.4689999999998,16.626999999999953,-1.0150357851687015
2022-12-29 14:00:00,1,1813.955,1808.664,1829.8279999999997,5.29099999999994,2.952749952749952
2023-01-03 15:00:00,1,1833.189,1827.552,1850.1000000000006,5.637000000000171,2.955650168529361
2023-01-04 19:00:00,1,1852.451,1847.026,1868.7259999999999,5.4249999999999545,-1.0460829493087562
2023-01-06 13:00:00,1,1851.753,1834.604,1903.1999999999996,17.148999999999887,2.61309697358449
2023-01-16 23:00:00,1,1917.856,1914.918,1926.6700000000003,2.938000000000102,-1.0850918992511884
2023-01-18 12:00:00,1,1917.288,1914.833,1924.6529999999998,2.4549999999999272,2.8981670061099765
2023-01-19 14:00:00,1,1917.476,1912.77,1931.5940000000005,4.706000000000131,2.946876328091799
2023-01-23 18:00:00,1,1927.742,1923.732,1939.772,4.009999999999991,2.937655860349127
2023-01-24 15:00:00,1,1934.973,1916.962,1989.0059999999999,18.010999999999967,-1.0138804064183
2023-02-01 20:00:00,1,1953.446,1939.164,1996.2919999999997,14.281999999999925,-1.0175045511833078
2023-03-17 14:00:00,1,1962.248,1949.703,1999.8830000000003,12.545000000000073,2.980071741729773
2023-04-04 13:00:00,1,1992.438,1983.372,2019.6360000000002,9.066000000000031,2.972424442973748
2023-04-12 04:00:00,1,2020.341,2017.068,2030.1599999999996,3.272999999999911,-1.0763825236785844
2023-04-12 12:00:00,1,2022.212,2006.221,2070.185,15.990999999999985,-1.0156337940091302
2023-04-13 06:00:00,1,2020.397,2015.276,2035.7599999999995,5.120999999999867,2.9511814098808813
2023-05-03 20:00:00,1,2039.418,2029.043,2070.5429999999997,10.375,2.9759036144578315
2023-05-04 02:00:00,1,2043.534,2038.222,2059.4700000000003,5.3120000000001255,-1.0470632530120472
2023-05-04 10:00:00,1,2039.897,2036.602,2049.7819999999992,3.2949999999998454,-1.0758725341426438
2023-05-04 13:00:00,1,2044.323,2032.038,2081.1780000000003,12.285000000000082,-1.0203500203500202
2023-05-10 12:00:00,1,2045.566,2024.972,2107.348,20.59400000000005,-1.0121394580945906
2023-06-27 15:00:00,-1,1913.461,1917.482,1901.3980000000001,4.020999999999958,2.937826411340462
2023-06-30 05:00:00,-1,1907.104,1909.862,1898.83,2.758000000000038,-1.090645395213922
2023-07-06 14:00:00,-1,1907.838,1910.803,1898.9429999999995,2.9650000000001455,-1.084317032040468
2023-08-14 13:00:00,-1,1904.195,1910.899,1884.083,6.703999999999951,-1.0372911694510742
2023-08-14 18:00:00,-1,1908.013,1910.531,1900.4589999999998,2.518000000000029,2.9007148530579836
2023-08-15 15:00:00,-1,1906.82,1911.057,1894.1089999999997,4.23700000000008,2.9409959877271667
2023-09-27 10:00:00,-1,1893.819,1896.306,1886.3579999999997,2.48700000000008,2.899477281865705
2023-10-03 12:00:00,-1,1824.76,1829.74,1809.82,4.980000000000018,-1.0502008032128511
2023-10-03 14:00:00,-1,1826.412,1833.344,1805.616,6.932000000000016,-1.036064627813041
2023-10-20 02:00:00,1,1979.431,1976.523,1988.1550000000004,2.908000000000129,-1.0859697386519906
2023-10-20 06:00:00,1,1979.321,1974.061,1995.1009999999999,5.259999999999991,-1.0475285171102662
2023-10-20 13:00:00,1,1987.061,1976.539,2018.6269999999997,10.521999999999935,-1.0237597414940127
2023-10-20 18:00:00,1,1980.222,1976.032,1992.7920000000001,4.190000000000055,-1.0596658711217175
2023-10-23 07:00:00,1,1979.42,1974.449,1994.333,4.971000000000004,-1.0502916918125125
2023-10-24 01:00:00,1,1976.541,1973.811,1984.731,2.730000000000018,-1.091575091575091
2023-11-03 12:00:00,1,2000.158,1985.715,2043.4869999999999,14.442999999999984,-1.0173094232500173
2023-11-21 13:00:00,1,1997.546,1989.167,2022.6830000000004,8.379000000000133,-1.029836496001909
2023-11-23 06:00:00,1,1996.17,1995.17,1999.17,1.0,-1.25
2023-11-24 13:00:00,1,1999.567,1994.322,2015.3020000000004,5.245000000000118,2.9523355576739765
2023-11-28 13:00:00,1,2021.427,2011.335,2051.7029999999995,10.09199999999987,2.975227903289734
2023-11-30 23:00:00,1,2039.918,2036.427,2050.3909999999996,3.4909999999999854,-1.0716127184187916
2023-12-22 11:00:00,1,2060.624,2055.171,2076.9829999999997,5.4529999999999745,-1.0458463231248856
2023-12-26 01:00:00,1,2063.207,2054.755,2088.562999999999,8.45199999999977,-1.0295787979176534
2023-12-26 19:00:00,1,2061.63,2058.299,2071.6230000000005,3.331000000000131,2.92494746322426
2023-12-29 05:00:00,1,2072.216,2069.774,2079.542,2.4420000000000073,-1.102375102375102
2024-01-02 05:00:00,1,2074.31,2069.37,2089.13,4.940000000000055,-1.0506072874493921
2024-03-01 16:00:00,1,2081.054,2069.211,2116.583000000001,11.843000000000302,2.9788904838301113
2024-03-11 13:00:00,1,2181.69,2174.633,2202.861000000001,7.057000000000244,-1.0354258183364022
2024-03-20 18:00:00,1,2182.01,2157.32,2256.0800000000004,24.690000000000055,-1.0101255569056298
2024-03-26 10:00:00,1,2197.653,2190.667,2218.6109999999994,6.985999999999876,-1.0357858574291445
2024-03-28 05:00:00,1,2197.195,2194.396,2205.592,2.798999999999978,-1.0893176134333697
2024-03-28 09:00:00,1,2197.763,2192.409,2213.8249999999994,5.3539999999998145,2.953305939484496
2024-04-11 16:00:00,1,2349.778,2342.66,2371.1319999999996,7.117999999999938,2.9648777746558017
2024-04-12 15:00:00,1,2395.556,2382.143,2435.795,13.413000000000011,-1.0186386341608886
2024-04-16 16:00:00,1,2397.499,2385.465,2433.6009999999987,12.03399999999965,-1.0207744723284036
2024-04-16 18:00:00,1,2392.297,2383.489,2418.721,8.807999999999993,-1.0283832879200727
2024-04-17 08:00:00,1,2392.876,2382.461,2424.1210000000015,10.415000000000418,-1.0240038406144973
2024-04-17 13:00:00,1,2393.316,2382.912,2424.528,10.403999999999996,-1.0240292195309497
2024-04-19 01:00:00,1,2409.408,2378.719,2501.4749999999995,30.68899999999985,-1.008146241324253
2024-04-19 14:00:00,1,2391.065,2378.591,2428.4870000000005,12.47400000000016,-1.020041686708353
2024-05-15 23:00:00,1,2391.769,2388.573,2401.3569999999995,3.1959999999999127,-1.0782227784730936
2024-05-16 04:00:00,1,2391.261,2387.04,2403.924,4.221000000000004,-1.0592276711679696
2024-05-17 12:00:00,1,2393.217,2386.798,2412.474000000001,6.419000000000324,2.961053123539494
2024-05-21 11:00:00,1,2423.388,2417.301,2441.649,6.086999999999989,-1.0410711352061772
2024-05-21 19:00:00,1,2423.317,2419.886,2433.61,3.43100000000004,-1.072865053920139
2024-07-15 14:00:00,1,2431.555,2418.091,2471.9469999999997,13.463999999999942,2.9814319667260842
2024-07-18 10:00:00,1,2464.18,2461.488,2472.256,2.6920000000000073,-1.092867756315007
2024-07-18 14:00:00,1,2468.397,2460.061,2493.4049999999993,8.335999999999785,-1.029990403071018
2024-08-02 05:00:00,1,2466.72,2457.627,2493.9989999999993,9.092999999999847,-1.027493676454416
2024-08-02 12:00:00,1,2472.856,2455.781,2524.081000000001,17.075000000000273,-1.014641288433382
2024-08-12 16:00:00,1,2463.161,2458.93,2475.8540000000007,4.231000000000222,2.940912313873792
2024-08-13 01:00:00,1,2466.357,2460.792,2483.052,5.565000000000055,-1.0449236298292899
2024-08-13 05:00:00,1,2462.736,2458.493,2475.4649999999997,4.242999999999938,2.9410794249351864
2024-08-15 11:00:00,1,2463.525,2457.863,2480.511000000001,5.662000000000262,-1.0441540091840318
2024-08-16 08:00:00,1,2462.295,2459.102,2471.8740000000007,3.193000000000211,2.9217037269026047
2024-08-20 06:00:00,1,2502.38,2497.256,2517.752000000001,5.124000000000251,2.951209992193601
2024-09-05 08:00:00,1,2514.682,2505.917,2540.9769999999994,8.764999999999873,-1.028522532800913
2024-09-05 17:00:00,1,2515.079,2509.255,2532.5510000000004,5.824000000000069,-1.0429258241758237
2024-09-10 12:00:00,1,2513.784,2504.451,2541.7830000000004,9.333000000000084,-1.0267866709525337
2024-09-10 16:00:00,1,2514.335,2510.693,2525.2609999999995,3.6419999999998254,2.931356397583742
2024-09-12 03:00:00,1,2515.844,2512.108,2527.0519999999997,3.7359999999998763,2.9330835117772995
2024-09-17 08:00:00,1,2580.195,2577.532,2588.184,2.663000000000011,-1.0938790837401422
2024-09-19 14:00:00,1,2581.282,2571.724,2609.956,9.557999999999993,2.9738439003975725
2024-09-24 01:00:00,1,2629.081,2624.835,2641.8190000000004,4.246000000000095,-1.0588789448893063
2024-09-24 07:00:00,1,2628.996,2622.524,2648.4120000000007,6.472000000000207,2.9613720642768864
2024-09-25 17:00:00,1,2660.68,2653.08,2683.4799999999996,7.599999999999909,2.9671052631578942
2024-09-26 13:00:00,1,2660.918,2654.717,2679.521,6.201000000000022,-1.040316078051927
2024-10-04 05:00:00,1,2667.394,2664.06,2677.3959999999993,3.3339999999998327,-1.074985002999404
2024-10-16 01:00:00,1,2668.02,2660.085,2691.825,7.934999999999945,2.968494013862634
2024-10-21 14:00:00,1,2725.163,2722.236,2733.9440000000004,2.9270000000001346,-1.0854116843184107
2024-10-28 05:00:00,1,2738.393,2731.096,2760.284,7.2970000000000255,-1.0342606550637248
2024-10-28 13:00:00,1,2740.888,2732.811,2765.1189999999992,8.07699999999977,2.969047913829391
2025-01-24 02:00:00,1,2774.101,2762.272,2809.5880000000006,11.829000000000178,-1.0211344999577308
2025-01-30 08:00:00,1,2776.195,2768.322,2799.8140000000003,7.873000000000047,2.9682459037215803
2025-02-07 01:00:00,1,2866.29,2857.722,2891.9939999999992,8.567999999999756,-1.0291783380018682
2025-02-07 18:00:00,1,2861.245,2859.661,2865.9969999999994,1.5839999999998327,-1.1578282828282995
2025-02-07 20:00:00,1,2860.582,2859.1517089999998,2864.8728730000003,1.4302910000001248,2.8252103942484585
2025-02-21 02:00:00,1,2939.123,2926.286,2977.634,12.836999999999989,-1.019474955207603
2025-03-12 16:00:00,1,2936.155,2927.89,2960.950000000001,8.265000000000327,2.969751966122203
2025-03-14 06:00:00,1,2985.681,2981.128,2999.3399999999997,4.552999999999884,-1.054908851306832
2025-03-14 20:00:00,1,2986.37,2981.633,3000.581,4.73700000000008,2.9472239814228423
2025-03-19 15:00:00,1,3031.458,3026.802,3045.426,4.655999999999949,2.946305841924398
2025-03-21 08:00:00,1,3032.974,3027.049,3050.7490000000007,5.925000000000182,-1.0421940928270028
2025-03-27 06:00:00,1,3029.938,3026.699,3039.655,3.2390000000000327,2.9228156838530417
2025-03-31 13:00:00,1,3113.478,3099.753,3154.653,13.724999999999909,2.9817850637522767
2025-04-03 05:00:00,1,3131.888,3124.006,3155.534,7.882000000000062,-1.0317178381121541
2025-04-03 07:00:00,1,3128.957,3119.781,3156.4849999999997,9.17599999999993,-1.0272449869224065
2025-04-10 14:00:00,1,3154.647,3116.827,3268.106999999999,37.81999999999971,2.9933897408778423
2025-04-17 07:00:00,1,3323.323,3314.279,3350.4549999999995,9.043999999999869,-1.0276426360017696
2025-04-17 20:00:00,1,3327.671,3317.975,3356.7589999999996,9.695999999999913,2.9742161716171616
2025-06-15 22:00:00,1,3448.312,3438.604,3477.436,9.708000000000084,-1.025751957148743
2025-08-28 18:00:00,1,3419.973,3417.247,3428.1510000000003,2.7260000000001128,-1.091709464416724
2025-08-29 13:00:00,1,3428.691,3413.653,3473.805,15.038000000000011,2.9833754488628808
2025-09-08 01:00:00,1,3589.421,3584.937,3602.8729999999996,4.483999999999924,-1.0557537912578066
2025-09-10 19:00:00,1,3641.898,3635.064,3662.400000000001,6.834000000000287,-1.0365817968978621
2025-09-17 01:00:00,1,3679.426,3676.006,3689.686,3.4200000000000728,-1.0730994152046769
2025-09-17 14:00:00,1,3684.23,3676.863,3706.3310000000006,7.367000000000189,-1.033935116058096
2025-09-19 18:00:00,1,3683.612,3678.18,3699.908000000001,5.432000000000244,2.9539764359352008
2025-09-23 02:00:00,1,3741.719,3736.722,3756.7099999999996,4.996999999999844,2.949969981989192
2025-09-24 02:00:00,1,3757.101,3750.597,3776.613,6.503999999999905,2.9615621156211556
2025-09-25 07:00:00,1,3752.197,3740.002,3788.7820000000006,12.195000000000164,-1.0205002050020497
2025-09-25 18:00:00,1,3755.19,3736.518,3811.206,18.672000000000025,-1.013389031705227
2025-09-26 08:00:00,1,3752.951,3747.025,3770.729,5.925999999999931,-1.042186972662842
2025-09-26 12:00:00,1,3752.048,3746.602,3768.3859999999995,5.445999999999913,2.954094748439221
2025-10-01 18:00:00,1,3862.117,3854.868,3883.864000000001,7.249000000000251,-1.034487515519381
2025-10-03 07:00:00,1,3864.196,3856.972,3885.867999999999,7.223999999999705,-1.0346068660022163
2025-10-03 11:00:00,1,3862.106,3854.689,3884.3570000000013,7.417000000000371,2.9662936497236094
2025-10-14 06:00:00,1,4112.119,4090.603,4176.666999999999,21.51599999999962,2.988380739914482
2025-10-17 12:00:00,1,4314.449,4283.516,4407.248,30.932999999999993,-1.0080819836420651
2025-10-20 12:00:00,1,4323.592,4272.727,4476.186999999999,50.86499999999978,-1.0049149710016712
2025-12-12 11:00:00,1,4336.449,4326.982,4364.8499999999985,9.466999999999643,-1.0264075208619425
2025-12-12 13:00:00,1,4341.042,4321.305,4400.253000000001,19.73700000000008,-1.012666565334144
2025-12-15 05:00:00,1,4343.484,4324.781,4399.593000000002,18.70300000000043,-1.0133668395444577
2025-12-17 05:00:00,1,4333.959,4328.066,4351.638,5.893000000000029,-1.0424232139826912
2025-12-17 13:00:00,1,4341.94,4315.09,4422.489999999998,26.849999999999454,-1.0093109869646184
2025-12-18 15:00:00,1,4338.221,4324.746,4378.645999999998,13.474999999999454,-1.0185528756957336
2025-12-18 20:00:00,1,4334.705,4324.48,4365.380000000001,10.225000000000364,-1.0244498777506104
2025-12-19 15:00:00,1,4347.773,4331.995,4395.107000000001,15.778000000000247,2.9841551527443277
2026-01-09 15:00:00,1,4512.286,4490.03,4579.054000000001,22.256000000000313,-1.0112329259525519
2026-01-13 12:00:00,1,4593.268,4577.847,4639.531000000001,15.421000000000276,-1.0162116594254584
2026-01-15 14:00:00,1,4611.03,4583.25,4694.369999999999,27.779999999999745,-1.0089992800575955
2026-01-16 14:00:00,1,4607.981,4596.14,4643.503999999998,11.84099999999944,-1.0211130816654008
2026-01-21 15:00:00,1,4847.815,4812.704,4953.147999999999,35.110999999999876,-1.007120275697075
